id_laporan;nama_skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;selisih_hari
QL001229481;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229472;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-07;2019-02-07;0
QL001229471;KELURAHAN GROGOL;Sampah;Sampah Trotoar;complete;2019-02-07;2019-02-07;0
QL001229470;KELURAHAN GROGOL;Sampah;Sampah Lingkungan;complete;2019-02-07;2019-02-07;0
QL001229469;KELURAHAN MERUYA UTARA;Sampah;Sampah Trotoar;complete;2019-02-07;2019-02-07;0
QL001229415;KELURAHAN JOGLO;Perizinan;Keluhan Proses Perijinan;complete;2019-02-06;2019-02-07;1
QL001229343;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Lingkungan;complete;2019-02-06;2019-02-06;0
QL001229342;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Trotoar;complete;2019-02-06;2019-02-06;0
QL001229341;KELURAHAN TANJUNG DUREN SELATAN;Saluran air/kali/sungai;"sampah saluran""";complete;2019-02-06;2019-02-06;0
QL001229298;KELURAHAN GROGOL;Sampah;Sampah Got;complete;2019-02-06;2019-02-06;0
QL001229296;KELURAHAN GROGOL;Sampah;Sampah Got;complete;2019-02-06;2019-02-06;0
QL001229293;KELURAHAN SLIPI;Sampah;Sampah Trotoar;complete;2019-02-06;2019-02-06;0
QL001229288;KELURAHAN PINANGSIA;Sampah;Limbah Rumah Tangga;complete;2019-02-06;2019-02-06;0
QL001229287;KELURAHAN PINANGSIA;Sampah;Sampah Lingkungan;complete;2019-02-06;2019-02-06;0
QL001229286;KELURAHAN PINANGSIA;Sampah;Sampah Ruang Publik;complete;2019-02-06;2019-02-06;0
QL001228306;KELURAHAN PINANGSIA;Jembatan Penyeberangan Orang (JPO) dan/atau halte;"rumput liar""";complete;2019-02-06;2019-02-06;0
